image,gt_chars,extra_dets
ScreenShot2024_0316_182600968,1,0
ScreenShot2024_0316_182917751,1,0
ScreenShot2024_0316_183020717,1,0
ScreenShot2024_0316_190640592,0,0
ScreenShot2024_0316_190915269,1,0
ScreenShot2024_0316_191230838,0,0
ScreenShot2024_0317_134900461,1,0
ScreenShot2024_0317_135407007,1,0
ScreenShot2024_0317_141525404,0,0
ScreenShot2024_0317_192408214,1,0
ScreenShot2024_0317_193016678,1,0
ScreenShot2024_0317_193645118,0,0
ScreenShot2024_0317_193810358,0,0
ScreenShot2024_0317_194143666,1,0
ScreenShot2024_0317_194212015,1,0
ScreenShot2024_0317_194302331,1,0
ScreenShot2024_0317_194644496,1,0
ScreenShot2024_0317_200345047,1,0
ScreenShot2024_0317_201021167,1,0
ScreenShot2024_0317_201226045,1,0
ScreenShot2024_0317_231457510,1,0
ScreenShot2024_0317_232316704,1,0
ScreenShot2024_0317_232459109,1,0
ScreenShot2024_0317_232828316,1,0
ScreenShot2024_0317_233148012,1,0
ScreenShot2024_0317_234039227,0,0
ScreenShot2024_0317_234324398,1,0
ScreenShot2024_0317_234414612,1,0
ScreenShot2024_0317_234827960,1,0
ScreenShot2024_0317_235620924,1,0
ScreenShot2024_0318_001101748,0,0
ScreenShot2024_0318_001637387,1,0
ScreenShot2024_0318_002657774,1,0
ScreenShot2024_0318_004242117,0,0
ScreenShot2024_0318_004517041,0,0
ScreenShot2024_0318_005010199,0,0
ScreenShot2024_0318_010832501,1,0
ScreenShot2024_0318_011013069,1,0
ScreenShot2024_0318_011346539,1,0
ScreenShot2024_0318_011502435,0,0
ScreenShot2024_0318_011611435,1,0
ScreenShot2024_0318_011800183,0,0
ScreenShot2024_0318_012014669,1,0
ScreenShot2024_0318_013503926,0,0
ScreenShot2024_0318_025353756,0,0
ScreenShot2024_0318_032802086,1,0
ScreenShot2024_0318_032853935,1,0
ScreenShot2024_0318_032933227,1,0
ScreenShot2024_0318_033629888,1,0
ScreenShot2024_0318_043107700,1,0
ScreenShot2024_0318_043716722,1,0
ScreenShot2024_0318_051413063,1,0
ScreenShot2024_0318_053042501,1,0
ScreenShot2024_0318_053815417,1,0
ScreenShot2024_0318_060105065,1,0
ScreenShot2024_0318_060428739,1,0
ScreenShot2024_0318_162041373,1,0
ScreenShot2024_0318_172157896,1,0
ScreenShot2024_0318_181257905,1,0
ScreenShot2024_0318_181727827,1,0
ScreenShot2024_0318_183420816,1,0
ScreenShot2024_0318_204937124,1,0
ScreenShot2024_0318_205443149,0,0
ScreenShot2024_0318_210943351,0,0
ScreenShot2024_0318_211706931,1,0
ScreenShot2024_0318_213418357,1,0
ScreenShot2024_0318_213721758,0,0
ScreenShot2024_0318_213923973,1,0
ScreenShot2024_0318_214829720,1,0
ScreenShot2024_0318_221404331,1,0
ScreenShot2024_0318_221554213,1,0
ScreenShot2024_0318_222202831,1,0
ScreenShot2024_0318_222952544,1,0
ScreenShot2024_0318_225900586,1,0
ScreenShot2024_0318_230318676,0,0
ScreenShot2024_0318_230417628,1,0
ScreenShot2024_0319_002449059,0,0
ScreenShot2024_0319_002831839,1,0
ScreenShot2024_0319_003057708,0,0
ScreenShot2024_0319_003353656,1,0
ScreenShot2024_0319_003443559,0,0
ScreenShot2024_0319_003618220,1,0
ScreenShot2024_0319_004044352,1,0
ScreenShot2024_0319_004216856,1,0
ScreenShot2024_0319_004957707,0,0
ScreenShot2024_0319_011057638,1,0
ScreenShot2024_0319_013243989,0,0
ScreenShot2024_0319_015202066,1,0
ScreenShot2024_0319_015320897,1,0
ScreenShot2024_0319_015729615,1,0
ScreenShot2024_0319_021124245,1,0
ScreenShot2024_0319_030246811,1,0
ScreenShot2024_0319_034815843,1,0
ScreenShot2024_0319_040233924,1,0
ScreenShot2024_0319_040550776,1,0
ScreenShot2024_0319_041122953,1,0
ScreenShot2024_0319_041543370,0,0
ScreenShot2024_0319_042028086,1,0
ScreenShot2024_0319_042118038,1,0
ScreenShot2024_0319_042311711,1,0
ScreenShot2024_0319_042444811,1,0
ScreenShot2024_0319_042757688,1,0
ScreenShot2024_0319_042828245,1,0
ScreenShot2024_0319_043211452,1,0
ScreenShot2024_0319_185258813,1,0
ScreenShot2024_0319_185347294,1,0
ScreenShot2024_0319_185508628,1,0
ScreenShot2024_0319_223054287,1,0
ScreenShot2024_0319_231831229,0,0
ScreenShot2024_0319_231907243,1,0
ScreenShot2024_0319_233729205,1,0
ScreenShot2024_0320_003909254,1,0
ScreenShot2024_0320_010736877,1,0
ScreenShot2024_0320_010949520,1,0
ScreenShot2024_0320_011401353,1,0
ScreenShot2024_0320_011434632,1,0
ScreenShot2024_0320_011819355,1,0
ScreenShot2024_0320_012256769,1,0
ScreenShot2024_0320_012420718,1,0
ScreenShot2024_0320_013623180,1,0
ScreenShot2024_0320_013821848,0,0
ScreenShot2024_0320_014035321,1,0
ScreenShot2024_0320_014429039,1,0
ScreenShot2024_0320_015157338,1,0
ScreenShot2024_0320_015704641,1,0
ScreenShot2024_0320_015742572,1,0
ScreenShot2024_0320_015926105,1,0
ScreenShot2024_0320_020245880,1,0
ScreenShot2024_0320_020425218,1,0
ScreenShot2024_0320_021839527,1,0
ScreenShot2024_0320_022241188,1,0
ScreenShot2024_0320_031707920,1,0
ScreenShot2024_0320_031913186,1,0
ScreenShot2024_0320_032407304,1,0
ScreenShot2024_0320_033107263,0,0
